event_id_cnty,event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,fatalities
KEN3247,2012-06-14,2012,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Kenya,Kiambu,Gatundu South,Gatundu,-1.0129,36.9049,0
KEN14011,2012-06-10,2012,Battles,Armed clash,Military Forces of the United Kingdom (2010-2024),Samburu Ethnic Militia (Kenya),Kenya,Samburu,Samburu East,Wamba,0.9802,37.3235,1
KEN3217,2012-05-28,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi - Starehe,-1.2881,36.8236,1
KEN3211,2012-05-19,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Garissa,Dadaab,Ifo,0.11,40.3135,2
KEN3215,2012-05-26,2012,Explosions/Remote violence,Grenade,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Garissa,Dadaab,Ifo,0.11,40.3135,0
KEN3236,2012-06-12,2012,Strategic developments,Other,Government of Kenya (2002-2013),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3303,2012-07-25,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,Civilians (Kenya),Kenya,Garissa,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,0
KEN3291,2012-07-16,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),Al Shabaab,Kenya,Garissa,Dadaab,Liboi,0.3534,40.8723,1
KEN3264,2012-06-25,2012,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Kenya,Kajiado,Loitokitok,Ongata Rongai,-2.75,37.3833,0
KEN3256,2012-06-19,2012,Strategic developments,Change to group/activity,MRC: Mombasa Republican Council,,Kenya,Kilifi,Kaloleni,Kaloleni,-3.8167,39.6269,0
KEN3259,2012-06-22,2012,Violence against civilians,Attack,Unidentified Armed Group (Somalia),Civilians (Somalia),Kenya,Garissa,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,1
KEN3265,2012-06-26,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Kisumu,Kisumu Central,Kisumu,-0.1,34.75,0
KEN3266,2012-06-26,2012,Riots,Violent demonstration,Rioters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Kisii,Nyaribari Masaba,Keroka,-0.7833,34.95,0
KEN3268,2012-06-27,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Kisumu,Nyando,Awasi,-0.16,35.0731,0
KEN3278,2012-07-01,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Ethiopia),Kenya,Turkana,Turkana Central,Lake Turkana,3.5,36,3
KEN3281,2012-07-04,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Isiolo,Isiolo,Isiolo,0.3546,37.5822,0
KEN3282,2012-07-04,2012,Violence against civilians,Attack,Unidentified Armed Group (Somalia),Civilians (Kenya),Kenya,Mandera,Mandera East,Mandera,3.9357,41.8542,1
KEN3285,2012-07-11,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Narok,Narok North,Narok,-1.0783,35.8601,0
KEN3286,2012-07-11,2012,Riots,Mob violence,Rioters (Kenya),Civilians (Somalia),Kenya,Busia,Matayos,Busia,0.46,34.112,0
KEN3288,2012-07-12,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Narok,Narok North,Narok,-1.0783,35.8601,0
KEN3292,2012-07-16,2012,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Busia,Teso North,Amagoro,0.6333,34.3333,0
